candidate_id,case_id,slug,record_id,source_row_number,estimate_field,reported_estimate,reported_ci_lower,reported_ci_upper,source_scale,analysis_scale,yi,sei,vi,interval_order_valid,estimate_within_interval,variance_derivation_valid,human_verified,independent_study_verified,common_estimand_verified,analysis_eligibility
MA-02-11a3a94f32777e156a73f4f9,2,mindfulness_anxiety,11a3a94f32777e156a73f4f9,23,effect_size,1.42,1.14,1.7,reported_effect_scale,unverified_reported_effect_scale,1.42,0.14285976793890312,0.020408913295557253,true,true,true,false,false,false,provisional_unverified
MA-02-a3d193ab7cb220340fbace07,2,mindfulness_anxiety,a3d193ab7cb220340fbace07,27,effect_size,7.25,-8.16,22.65,reported_effect_scale,unverified_reported_effect_scale,7.25,7.859838303924294,61.77705816383552,true,true,true,false,false,false,provisional_unverified
MA-02-302a4055c2eae4f5bcc3df3d,2,mindfulness_anxiety,302a4055c2eae4f5bcc3df3d,33,effect_size,-0.15,-0.32,0.03,reported_effect_scale,unverified_reported_effect_scale,-0.15,0.08928735496181443,0.007972231756077048,true,true,true,false,false,false,provisional_unverified
MA-02-e593824e024903ccefc60040,2,mindfulness_anxiety,e593824e024903ccefc60040,36,effect_size,-0.59,-1.06,-0.12,reported_effect_scale,unverified_reported_effect_scale,-0.59,0.23980032475458737,0.05750419575240557,true,true,true,false,false,false,provisional_unverified
MA-02-d7f236bc8339b1d0991233eb,2,mindfulness_anxiety,d7f236bc8339b1d0991233eb,55,effect_size,0.37,0.28,0.45,reported_effect_scale,unverified_reported_effect_scale,0.37,0.04336814383859558,0.0018807959000051158,true,true,true,false,false,false,provisional_unverified
MA-02-c9969b941e7886e357d088dc,2,mindfulness_anxiety,c9969b941e7886e357d088dc,69,effect_size,67.0,6.0,10.0,reported_effect_scale,unverified_reported_effect_scale,67.0,1.0204269138493078,1.0412710865080228,true,false,true,false,false,false,provisional_unverified
MA-03-c224ee0189e59a1697799884,3,glp1_cardiovascular,c224ee0189e59a1697799884,2,hazard_ratio,0.87,0.78,0.97,ratio,log_hazard_ratio,-0.13926206733350766,0.05561381574696377,0.0030928965019372356,true,true,true,false,false,false,provisional_unverified
MA-03-7302e7a3b301d1c3456b7b7b,3,glp1_cardiovascular,7302e7a3b301d1c3456b7b7b,3,hazard_ratio,0.79,0.57,1.11,ratio,log_hazard_ratio,-0.23572233352106983,0.17002326030857837,0.0289079090459586,true,true,true,false,false,false,provisional_unverified
MA-03-21f4efc6c4492e65fa749092,3,glp1_cardiovascular,21f4efc6c4492e65fa749092,4,hazard_ratio,0.8,0.72,0.9,ratio,log_hazard_ratio,-0.2231435513142097,0.05692542135323345,0.0032405035962431673,true,true,true,false,false,false,provisional_unverified
MA-03-11acad664bc36a57d0b6a920,3,glp1_cardiovascular,11acad664bc36a57d0b6a920,6,hazard_ratio,0.91,0.83,1.0,ratio,log_hazard_ratio,-0.09431067947124129,0.04753392910819725,0.002259474416463122,true,true,true,false,false,false,provisional_unverified
MA-03-03f5fb5a887af6a26aeb1759,3,glp1_cardiovascular,03f5fb5a887af6a26aeb1759,10,hazard_ratio,1.02,0.89,1.17,ratio,log_hazard_ratio,0.01980262729617973,0.06978127333544025,0.004869426108315425,true,true,true,false,false,false,provisional_unverified
MA-03-82416cc747d12d232edec6af,3,glp1_cardiovascular,82416cc747d12d232edec6af,11,hazard_ratio,0.72,0.6,0.87,ratio,log_hazard_ratio,-0.3285040669720361,0.09478836329731796,0.008984833816584334,true,true,true,false,false,false,provisional_unverified
MA-03-ca3672a24c0318848140c495,3,glp1_cardiovascular,ca3672a24c0318848140c495,12,hazard_ratio,0.86,0.79,0.94,ratio,log_hazard_ratio,-0.15082288973458366,0.04434952151525862,0.0019668800586323874,true,true,true,false,false,false,provisional_unverified
MA-03-512bb926e7059f996b463ac6,3,glp1_cardiovascular,512bb926e7059f996b463ac6,15,hazard_ratio,0.78,0.67,0.92,ratio,log_hazard_ratio,-0.2484613592984996,0.08089331236677988,0.006543727985669423,true,true,true,false,false,false,provisional_unverified
MA-03-90e630c842377414983effc8,3,glp1_cardiovascular,90e630c842377414983effc8,18,hazard_ratio,1.1,0.57,2.14,ratio,log_hazard_ratio,0.09531017980432493,0.33748700425680345,0.11389747804223167,true,true,true,false,false,false,provisional_unverified
MA-03-c0b793b686173c62b591de51,3,glp1_cardiovascular,c0b793b686173c62b591de51,20,hazard_ratio,0.73,0.58,0.92,ratio,log_hazard_ratio,-0.31471074483970024,0.11769235816108259,0.013851491169516544,true,true,true,false,false,false,provisional_unverified
MA-03-b62616cb79a1c0f9252a9fed,3,glp1_cardiovascular,b62616cb79a1c0f9252a9fed,22,hazard_ratio,0.86,0.77,0.96,ratio,log_hazard_ratio,-0.15082288973458366,0.0562619444422871,0.003165406392427,true,true,true,false,false,false,provisional_unverified
MA-03-c65dca524996a6e5e349034b,3,glp1_cardiovascular,c65dca524996a6e5e349034b,23,hazard_ratio,0.8,0.57,1.11,ratio,log_hazard_ratio,-0.2231435513142097,0.17002326030857837,0.0289079090459586,true,true,true,false,false,false,provisional_unverified
MA-03-17214025dfe8f18d0f452415,3,glp1_cardiovascular,17214025dfe8f18d0f452415,24,hazard_ratio,0.68,0.61,0.99,ratio,log_hazard_ratio,-0.3856624808119846,0.12353440924959572,0.0152607502686466,true,true,true,false,false,false,provisional_unverified
MA-03-81516e49d791931bed3a232d,3,glp1_cardiovascular,81516e49d791931bed3a232d,25,hazard_ratio,0.87,0.8,0.96,ratio,log_hazard_ratio,-0.13926206733350766,0.04651145588186409,0.0021633155282505894,true,true,true,false,false,false,provisional_unverified
MA-03-0ed592ad049e2724d682434a,3,glp1_cardiovascular,0ed592ad049e2724d682434a,26,hazard_ratio,0.65,0.55,0.76,ratio,log_hazard_ratio,-0.4307829160924542,0.08250155553999954,0.006806506666519628,true,true,true,false,false,false,provisional_unverified
MA-03-a2d313c21706b7feb782f7ae,3,glp1_cardiovascular,a2d313c21706b7feb782f7ae,28,hazard_ratio,0.76,0.62,0.92,ratio,log_hazard_ratio,-0.2744368457017603,0.10067893979607043,0.010136248918460773,true,true,true,false,false,false,provisional_unverified
MA-03-9f2787b839aee81eb28f1e26,3,glp1_cardiovascular,9f2787b839aee81eb28f1e26,30,hazard_ratio,0.88,0.83,0.94,ratio,log_hazard_ratio,-0.12783337150988489,0.03174909729339024,0.0010080051789451594,true,true,true,false,false,false,provisional_unverified
MA-03-b81175e9aab13852f78a64e9,3,glp1_cardiovascular,b81175e9aab13852f78a64e9,31,hazard_ratio,0.67,0.53,0.86,ratio,log_hazard_ratio,-0.40047756659712525,0.1234857850755302,0.015248739115720035,true,true,true,false,false,false,provisional_unverified
MA-03-1a5f1f7911c43f20897edd78,3,glp1_cardiovascular,1a5f1f7911c43f20897edd78,34,hazard_ratio,0.58,0.45,0.75,ratio,log_hazard_ratio,-0.5447271754416722,0.13031505369366939,0.016982013219183936,true,true,true,false,false,false,provisional_unverified
MA-03-5a845c04d63cad358f127ceb,3,glp1_cardiovascular,5a845c04d63cad358f127ceb,37,hazard_ratio,0.81,0.68,0.95,ratio,log_hazard_ratio,-0.21072103131565253,0.08529982924734728,0.007276060869626602,true,true,true,false,false,false,provisional_unverified
MA-03-5f83800019bba34615f09878,3,glp1_cardiovascular,5f83800019bba34615f09878,40,hazard_ratio,1.1,0.9,1.3,ratio,log_hazard_ratio,0.09531017980432493,0.09380906563229822,0.008800140794804836,true,true,true,false,false,false,provisional_unverified
MA-03-5418513722f30c5727ac5632,3,glp1_cardiovascular,5418513722f30c5727ac5632,41,hazard_ratio,0.69,0.51,0.93,ratio,log_hazard_ratio,-0.37106368139083207,0.15326145407970704,0.02348907330662615,true,true,true,false,false,false,provisional_unverified
MA-03-1a697136944db74af39aa513,3,glp1_cardiovascular,1a697136944db74af39aa513,42,hazard_ratio,0.85,0.73,0.99,ratio,log_hazard_ratio,-0.16251892949777494,0.07772092022846369,0.006040541441159217,true,true,true,false,false,false,provisional_unverified
MA-03-13f37855dcf7b333e68c0be5,3,glp1_cardiovascular,13f37855dcf7b333e68c0be5,43,hazard_ratio,0.88,0.8,0.96,ratio,log_hazard_ratio,-0.12783337150988489,0.04651145588186409,0.0021633155282505894,true,true,true,false,false,false,provisional_unverified
MA-03-f84f1c558e852a47a46cf044,3,glp1_cardiovascular,f84f1c558e852a47a46cf044,46,hazard_ratio,0.92,0.83,1.01,ratio,log_hazard_ratio,-0.08338160893905101,0.05007232545926672,0.0025072377768987305,true,true,true,false,false,false,provisional_unverified
MA-03-0991556a47b52b62230a9aeb,3,glp1_cardiovascular,0991556a47b52b62230a9aeb,52,hazard_ratio,0.79,0.71,0.87,ratio,log_hazard_ratio,-0.23572233352106983,0.05184489184911223,0.0026878928108461436,true,true,true,false,false,false,provisional_unverified
MA-03-b756ad83b788bc7e956726df,3,glp1_cardiovascular,b756ad83b788bc7e956726df,54,hazard_ratio,0.96,0.94,0.99,ratio,log_hazard_ratio,-0.040821994520255166,0.013220923515272629,0.00017479281859668878,true,true,true,false,false,false,provisional_unverified
MA-03-f7af90e8e2e37f88f7cfe7f3,3,glp1_cardiovascular,f7af90e8e2e37f88f7cfe7f3,59,hazard_ratio,0.154,0.038,0.622,ratio,log_hazard_ratio,-1.870802676568508,0.7131135967451925,0.508531001862865,true,true,true,false,false,false,provisional_unverified
MA-03-e5756e517f3d198364daf46f,3,glp1_cardiovascular,e5756e517f3d198364daf46f,61,hazard_ratio,0.7,0.49,0.99,ratio,log_hazard_ratio,-0.35667494393873245,0.17941644784585342,0.03219026175762384,true,true,true,false,false,false,provisional_unverified
MA-03-0a2b717d3a32f93c4d791975,3,glp1_cardiovascular,0a2b717d3a32f93c4d791975,70,hazard_ratio,0.7,0.38,1.31,ratio,log_hazard_ratio,-0.35667494393873245,0.31572293502250165,0.0996809716992228,true,true,true,false,false,false,provisional_unverified
MA-03-b9bd12bb64f1bcb98ce0319c,3,glp1_cardiovascular,b9bd12bb64f1bcb98ce0319c,73,hazard_ratio,0.72,0.69,0.75,ratio,log_hazard_ratio,-0.3285040669720361,0.02127120947036646,0.0004524643523322078,true,true,true,false,false,false,provisional_unverified
MA-03-9b661429758ca59d96558663,3,glp1_cardiovascular,9b661429758ca59d96558663,75,hazard_ratio,0.67,0.63,0.72,ratio,log_hazard_ratio,-0.40047756659712525,0.03406475671946045,0.001160407650356026,true,true,true,false,false,false,provisional_unverified
MA-03-c445def9c7f2ed40494c0a5f,3,glp1_cardiovascular,c445def9c7f2ed40494c0a5f,76,hazard_ratio,0.73,0.38,1.41,ratio,log_hazard_ratio,-0.31471074483970024,0.3344892408723205,0.11188305225934125,true,true,true,false,false,false,provisional_unverified
MA-03-3db100f1c2bc79ce87f03d2c,3,glp1_cardiovascular,3db100f1c2bc79ce87f03d2c,77,hazard_ratio,0.77,0.58,1.01,ratio,log_hazard_ratio,-0.2613647641344075,0.14150196398251846,0.02002280581090995,true,true,true,false,false,false,provisional_unverified
MA-03-9b44438f6016822e89c210ec,3,glp1_cardiovascular,9b44438f6016822e89c210ec,78,hazard_ratio,3.4,1.82,6.32,ratio,log_hazard_ratio,1.2237754316221157,0.31757795471996886,0.10085575732411858,true,true,true,false,false,false,provisional_unverified
MA-03-ecfd243c4ec27b4ee5c452ed,3,glp1_cardiovascular,ecfd243c4ec27b4ee5c452ed,79,hazard_ratio,0.91,0.84,0.98,ratio,log_hazard_ratio,-0.09431067947124129,0.039324875620975495,0.001546445842605193,true,true,true,false,false,false,provisional_unverified
MA-03-955f16f9aaa66fa5114ae5a2,3,glp1_cardiovascular,955f16f9aaa66fa5114ae5a2,80,hazard_ratio,0.9,0.83,0.97,ratio,log_hazard_ratio,-0.10536051565782628,0.03976358033521803,0.0015811423210753378,true,true,true,false,false,false,provisional_unverified
MA-03-35bdb3992a53fafbbe6f220a,3,glp1_cardiovascular,35bdb3992a53fafbbe6f220a,82,hazard_ratio,0.42,0.17,1.08,ratio,log_hazard_ratio,-0.8675005677047231,0.4716713923449696,0.22247390235664222,true,true,true,false,false,false,provisional_unverified
MA-03-254434e9a03e5f230b374f3b,3,glp1_cardiovascular,254434e9a03e5f230b374f3b,84,hazard_ratio,0.93,0.77,1.12,ratio,log_hazard_ratio,-0.07257069283483537,0.09558682006326263,0.009136840169806548,true,true,true,false,false,false,provisional_unverified
MA-03-5428438d131a7cc2eeb4cdd8,3,glp1_cardiovascular,5428438d131a7cc2eeb4cdd8,85,hazard_ratio,0.74,0.58,0.95,ratio,log_hazard_ratio,-0.3011050927839216,0.12587830310818593,0.015845347193396333,true,true,true,false,false,false,provisional_unverified
MA-03-837d8816235dd10d796e735e,3,glp1_cardiovascular,837d8816235dd10d796e735e,87,hazard_ratio,0.73,0.62,0.87,ratio,log_hazard_ratio,-0.31471074483970024,0.0864234588700854,0.007469014243069343,true,true,true,false,false,false,provisional_unverified
MA-03-2be03b40a0319b4f732b0db7,3,glp1_cardiovascular,2be03b40a0319b4f732b0db7,90,hazard_ratio,0.68,0.51,0.89,ratio,log_hazard_ratio,-0.3856624808119846,0.1420461654907606,0.020177113130628546,true,true,true,false,false,false,provisional_unverified
MA-03-bd91bcb554809a5747344143,3,glp1_cardiovascular,bd91bcb554809a5747344143,93,hazard_ratio,0.76,0.59,0.98,ratio,log_hazard_ratio,-0.2744368457017603,0.12944881609238637,0.016756995987720468,true,true,true,false,false,false,provisional_unverified
MA-03-82fa196339840a3e74cb2d77,3,glp1_cardiovascular,82fa196339840a3e74cb2d77,97,hazard_ratio,0.78,0.61,1.01,ratio,log_hazard_ratio,-0.2484613592984996,0.12863671390019957,0.016547404163041797,true,true,true,false,false,false,provisional_unverified
MA-03-80a1437b98c1175c69f01d8c,3,glp1_cardiovascular,80a1437b98c1175c69f01d8c,98,hazard_ratio,0.7,0.66,0.75,ratio,log_hazard_ratio,-0.35667494393873245,0.03261115319419597,0.001063487312655318,true,true,true,false,false,false,provisional_unverified
MA-03-1a553267a9797b45b18e4d42,3,glp1_cardiovascular,1a553267a9797b45b18e4d42,100,hazard_ratio,0.91,0.66,1.26,ratio,log_hazard_ratio,-0.09431067947124129,0.16495894057889968,0.027211452076912956,true,true,true,false,false,false,provisional_unverified
MA-03-762acdb35ff7322e1a09f225,3,glp1_cardiovascular,762acdb35ff7322e1a09f225,102,hazard_ratio,0.76,0.59,0.98,ratio,log_hazard_ratio,-0.2744368457017603,0.12944881609238637,0.016756995987720468,true,true,true,false,false,false,provisional_unverified
MA-03-ac8ea0cadfd2abb376ff1fa5,3,glp1_cardiovascular,ac8ea0cadfd2abb376ff1fa5,105,hazard_ratio,0.513,0.292,0.899,ratio,log_hazard_ratio,-0.6674794338113675,0.2868749734876461,0.08229725041353766,true,true,true,false,false,false,provisional_unverified
MA-03-78861d4a04209be4109973b8,3,glp1_cardiovascular,78861d4a04209be4109973b8,106,hazard_ratio,0.69,0.57,0.85,ratio,log_hazard_ratio,-0.37106368139083207,0.10194064579955554,0.01039189526603044,true,true,true,false,false,false,provisional_unverified
MA-03-1e2b347196f75df49078cd04,3,glp1_cardiovascular,1e2b347196f75df49078cd04,107,hazard_ratio,0.78,0.63,0.96,ratio,log_hazard_ratio,-0.2484613592984996,0.10745438905989642,0.011546445728235587,true,true,true,false,false,false,provisional_unverified
MA-03-5cecee0795e8b72b669dc4a1,3,glp1_cardiovascular,5cecee0795e8b72b669dc4a1,108,hazard_ratio,1.07,1.01,1.15,ratio,log_hazard_ratio,0.06765864847381486,0.033115815531797516,0.0010966572383360417,true,true,true,false,false,false,provisional_unverified
MA-03-c84d382d11fa13e1917c9786,3,glp1_cardiovascular,c84d382d11fa13e1917c9786,110,hazard_ratio,0.57,0.3,1.1,ratio,log_hazard_ratio,-0.5621189181535413,0.3314558314282404,0.10986296818778613,true,true,true,false,false,false,provisional_unverified
MA-03-f2f9b4a692f1edf645769c11,3,glp1_cardiovascular,f2f9b4a692f1edf645769c11,112,hazard_ratio,0.74,0.58,0.95,ratio,log_hazard_ratio,-0.3011050927839216,0.12587830310818593,0.015845347193396333,true,true,true,false,false,false,provisional_unverified
MA-03-77ff182a39a27ed4eb40e239,3,glp1_cardiovascular,77ff182a39a27ed4eb40e239,113,hazard_ratio,0.9,0.86,0.94,ratio,log_hazard_ratio,-0.10536051565782628,0.022691102162616904,0.0005148861173543176,true,true,true,false,false,false,provisional_unverified
MA-03-d53d0d9152a29015d82901c7,3,glp1_cardiovascular,d53d0d9152a29015d82901c7,114,hazard_ratio,0.79,0.63,0.98,ratio,log_hazard_ratio,-0.23572233352106983,0.11271450796141144,0.012704560304983084,true,true,true,false,false,false,provisional_unverified
MA-03-36cbca0260c6d65a1d9afb8f,3,glp1_cardiovascular,36cbca0260c6d65a1d9afb8f,115,hazard_ratio,0.83,0.73,0.95,ratio,log_hazard_ratio,-0.18632957819149348,0.06719956400473501,0.004515781402426477,true,true,true,false,false,false,provisional_unverified
MA-03-37e00f5c0d142ef614afe31f,3,glp1_cardiovascular,37e00f5c0d142ef614afe31f,117,hazard_ratio,0.7,0.54,0.91,ratio,log_hazard_ratio,-0.35667494393873245,0.1331339412532737,0.017724646313630136,true,true,true,false,false,false,provisional_unverified
MA-03-1620fd0f99b503067eb67f1f,3,glp1_cardiovascular,1620fd0f99b503067eb67f1f,118,hazard_ratio,0.84,0.76,0.93,ratio,log_hazard_ratio,-0.1743533871447778,0.05149741384515721,0.002651983632739389,true,true,true,false,false,false,provisional_unverified
MA-03-bfa1ca64262d5b126f284cb6,3,glp1_cardiovascular,bfa1ca64262d5b126f284cb6,121,hazard_ratio,1.04,0.83,1.31,ratio,log_hazard_ratio,0.03922071315328133,0.11641966867866892,0.013553539255251044,true,true,true,false,false,false,provisional_unverified
MA-03-18a33882c3cac41a06bf58a6,3,glp1_cardiovascular,18a33882c3cac41a06bf58a6,123,hazard_ratio,0.92,0.81,1.05,ratio,log_hazard_ratio,-0.08338160893905101,0.06620305207954734,0.004382844104647257,true,true,true,false,false,false,provisional_unverified
MA-03-ed0ca9ceea055fee92349428,3,glp1_cardiovascular,ed0ca9ceea055fee92349428,127,hazard_ratio,0.89,0.81,0.99,ratio,log_hazard_ratio,-0.11653381625595151,0.05119244461760929,0.002620666385926994,true,true,true,false,false,false,provisional_unverified
MA-03-6ce4aed21461db93f1675ee5,3,glp1_cardiovascular,6ce4aed21461db93f1675ee5,129,hazard_ratio,0.77,0.69,0.87,ratio,log_hazard_ratio,-0.2613647641344075,0.059134151414450976,0.0034968478635072145,true,true,true,false,false,false,provisional_unverified
MA-03-a70277b6c25fa2f96676a55a,3,glp1_cardiovascular,a70277b6c25fa2f96676a55a,131,hazard_ratio,1.06,0.95,1.18,ratio,log_hazard_ratio,0.058268908123975824,0.05530911143655588,0.0030590978079013567,true,true,true,false,false,false,provisional_unverified
MA-03-1d7923ac483f8ab8c37e3868,3,glp1_cardiovascular,1d7923ac483f8ab8c37e3868,132,hazard_ratio,0.86,0.77,0.96,ratio,log_hazard_ratio,-0.15082288973458366,0.0562619444422871,0.003165406392427,true,true,true,false,false,false,provisional_unverified
MA-03-11c431a32d99fe7887a81096,3,glp1_cardiovascular,11c431a32d99fe7887a81096,133,hazard_ratio,0.79,0.57,1.11,ratio,log_hazard_ratio,-0.23572233352106983,0.17002326030857837,0.0289079090459586,true,true,true,false,false,false,provisional_unverified
MA-03-9505b604fe4aa26a1812348f,3,glp1_cardiovascular,9505b604fe4aa26a1812348f,134,hazard_ratio,0.82,0.68,0.98,ratio,log_hazard_ratio,-0.19845093872383832,0.09323124720075605,0.008692065454608483,true,true,true,false,false,false,provisional_unverified
MA-03-a0a851fd05238b7cdcc4cfdd,3,glp1_cardiovascular,a0a851fd05238b7cdcc4cfdd,142,hazard_ratio,0.59,0.5,0.71,ratio,log_hazard_ratio,-0.527632742082372,0.08945492733006982,0.008002184023628072,true,true,true,false,false,false,provisional_unverified
MA-03-f7330d4fd3aefdc598bc77ec,3,glp1_cardiovascular,f7330d4fd3aefdc598bc77ec,147,hazard_ratio,0.68,0.46,1.0,ratio,log_hazard_ratio,-0.3856624808119846,0.1980977190458999,0.03924270629118829,true,true,true,false,false,false,provisional_unverified
MA-03-8bccb5fd20f7208aabdf6927,3,glp1_cardiovascular,8bccb5fd20f7208aabdf6927,152,hazard_ratio,0.73,0.57,0.96,ratio,log_hazard_ratio,-0.31471074483970024,0.13298635274556314,0.01768537001656735,true,true,true,false,false,false,provisional_unverified
MA-03-f1971c6bc2996a7f47f88a04,3,glp1_cardiovascular,f1971c6bc2996a7f47f88a04,166,hazard_ratio,0.76,0.62,0.93,ratio,log_hazard_ratio,-0.2744368457017603,0.10343687723509756,0.010699187572148645,true,true,true,false,false,false,provisional_unverified
MA-03-127f1cbe3cd3ccdd7c435b8d,3,glp1_cardiovascular,127f1cbe3cd3ccdd7c435b8d,167,hazard_ratio,0.58,0.51,0.65,ratio,log_hazard_ratio,-0.5447271754416722,0.06187910570923922,0.0038290237233752017,true,true,true,false,false,false,provisional_unverified
MA-03-ce55f3e334d52f72533e9e85,3,glp1_cardiovascular,ce55f3e334d52f72533e9e85,168,hazard_ratio,1.02,0.91,1.14,ratio,log_hazard_ratio,0.01980262729617973,0.05748548025756854,0.0033045804404433026,true,true,true,false,false,false,provisional_unverified
MA-03-9630fb78a6c0d2e54d1ed7c6,3,glp1_cardiovascular,9630fb78a6c0d2e54d1ed7c6,172,hazard_ratio,0.9,0.82,0.98,ratio,log_hazard_ratio,-0.10536051565782628,0.0454723231682618,0.002067732174318839,true,true,true,false,false,false,provisional_unverified
MA-03-a8c0236a1f51a1d2e4b9620e,3,glp1_cardiovascular,a8c0236a1f51a1d2e4b9620e,174,hazard_ratio,0.69,0.58,0.83,ratio,log_hazard_ratio,-0.37106368139083207,0.09142963852325176,0.008359378800492482,true,true,true,false,false,false,provisional_unverified
MA-03-6fba8585defb8c96ed63ee22,3,glp1_cardiovascular,6fba8585defb8c96ed63ee22,177,hazard_ratio,0.96,0.75,1.23,ratio,log_hazard_ratio,-0.040821994520255166,0.1262003398374174,0.015926525775079643,true,true,true,false,false,false,provisional_unverified
MA-03-44730ea5d26419e02e930551,3,glp1_cardiovascular,44730ea5d26419e02e930551,178,hazard_ratio,0.86,0.83,0.9,ratio,log_hazard_ratio,-0.15082288973458366,0.020655752649625412,0.0004266601175225072,true,true,true,false,false,false,provisional_unverified
MA-03-f14d6b9e2ed7152d359eb60b,3,glp1_cardiovascular,f14d6b9e2ed7152d359eb60b,182,hazard_ratio,0.83,0.69,0.99,ratio,log_hazard_ratio,-0.18632957819149348,0.09209693351126802,0.008481845162178923,true,true,true,false,false,false,provisional_unverified
MA-03-260fd1d7be4b79b4b6ca9333,3,glp1_cardiovascular,260fd1d7be4b79b4b6ca9333,183,hazard_ratio,0.73,0.63,0.85,ratio,log_hazard_ratio,-0.31471074483970024,0.07640868211388882,0.0058382867023813135,true,true,true,false,false,false,provisional_unverified
MA-03-3a41879a3d3f49fa403a1e2f,3,glp1_cardiovascular,3a41879a3d3f49fa403a1e2f,189,hazard_ratio,1.52,0.95,2.43,ratio,log_hazard_ratio,0.41871033485818504,0.23959229841675042,0.05740446946062119,true,true,true,false,false,false,provisional_unverified
MA-03-6ca8bd0e950017a3c3c736ac,3,glp1_cardiovascular,6ca8bd0e950017a3c3c736ac,191,hazard_ratio,0.65,0.5,0.86,ratio,log_hazard_ratio,-0.4307829160924542,0.13835057559810957,0.01914088176832823,true,true,true,false,false,false,provisional_unverified
MA-03-59598e6d457d315068e39a6d,3,glp1_cardiovascular,59598e6d457d315068e39a6d,193,hazard_ratio,0.58,0.51,0.66,ratio,log_hazard_ratio,-0.5447271754416722,0.0657739405764144,0.004326211258949693,true,true,true,false,false,false,provisional_unverified
MA-03-ab4608e75ad08bd34abd26bf,3,glp1_cardiovascular,ab4608e75ad08bd34abd26bf,194,hazard_ratio,0.88,0.81,0.95,ratio,log_hazard_ratio,-0.12783337150988489,0.04067108839388061,0.0016541374311428501,true,true,true,false,false,false,provisional_unverified
MA-03-c8cec24a0a6ab9c22a3a521c,3,glp1_cardiovascular,c8cec24a0a6ab9c22a3a521c,195,hazard_ratio,0.55,0.49,0.63,ratio,log_hazard_ratio,-0.5978370007556204,0.06411200161412206,0.004110348750969189,true,true,true,false,false,false,provisional_unverified
MA-03-bf34f8b86381850f438589d9,3,glp1_cardiovascular,bf34f8b86381850f438589d9,197,hazard_ratio,0.27,0.21,0.36,ratio,log_hazard_ratio,-1.3093333199837622,0.13750163395455797,0.01890669934017325,true,true,true,false,false,false,provisional_unverified
MA-03-9a145d7a444f94a5a0ddc363,3,glp1_cardiovascular,9a145d7a444f94a5a0ddc363,198,hazard_ratio,0.92,0.83,1.01,ratio,log_hazard_ratio,-0.08338160893905101,0.05007232545926672,0.0025072377768987305,true,true,true,false,false,false,provisional_unverified
