task,sample_id,case_id,field_name,attempted_calls,successful_calls,unique_successful_outputs,all_repeats_exactly_equal,null_state_stable,numeric_range,field_class,declared_type,historical_null_status
extraction,EXT-03-416674a813bf,3,hazard_ratio,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-4556112b615b,3,ci_lower,3,3,2,false,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-511cc5a928b5,3,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-03-6123a5b6bcd3,3,ci_upper,3,3,3,false,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-687a1bdc2d26,3,follow_up_years,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-03-6f31e497f313,3,drug,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-03-74aaf5f1d00a,3,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-75a97af99a58,3,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-03-7da72ad6c81a,3,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,null
extraction,EXT-03-905c9db636a2,3,follow_up_years,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-03-9212eda1b6ab,3,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-03-952a7220fb78,3,follow_up_years,3,3,1,true,true,0.0,other_numeric,numeric,null
extraction,EXT-03-996328e92301,3,follow_up_years,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-03-a24f3b902011,3,follow_up_years,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-03-a2ad92ccfd2d,3,follow_up_years,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-03-a966c137afcc,3,hazard_ratio,3,3,2,false,false,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-03-b12e96d27575,3,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-03-b8546f9becfc,3,follow_up_years,3,3,1,true,true,0.0,other_numeric,numeric,null
extraction,EXT-03-bc690ed51bd1,3,follow_up_years,3,3,1,true,true,0.0,other_numeric,numeric,nonnull
extraction,EXT-03-c19c7dbae355,3,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-c1e9749d1431,3,ci_upper,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,null
extraction,EXT-03-c698d92d6890,3,follow_up_years,3,3,1,true,true,0.0,other_numeric,numeric,nonnull
extraction,EXT-03-d347430ed50e,3,country,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-03-d361f499e4a9,3,follow_up_years,3,3,2,false,true,,other_numeric,numeric,null
extraction,EXT-03-d71666b67610,3,ci_upper,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-03-d93cbeb3ad18,3,hazard_ratio,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-e0b6682b4065,3,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-03-e76d263258dd,3,hazard_ratio,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-e85051d5d730,3,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-03-e92cb1d6a948,3,follow_up_years,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-03-e994df94c0e6,3,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-03-f8eead658f33,3,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-03-fa3a129f572b,3,follow_up_years,3,3,2,false,true,,other_numeric,numeric,null
extraction,EXT-04-08fb77f68ac9,4,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-04-0927c242c615,4,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-09d0594e9d04,4,study_design,3,3,2,false,true,,categorical,categorical,null
extraction,EXT-04-152ad96fc064,4,auc,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-2c76d2e8b830,4,auc,3,3,3,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-310eeddfd082,4,ai_model_type,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-04-323adbfdb612,4,imaging_modality,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-04-39f3d9934a7c,4,imaging_modality,3,3,3,false,false,,categorical,categorical,null
extraction,EXT-04-3d418d77d008,4,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-04-46e3ad3d3b31,4,ai_model_type,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-04-49a224d22bc8,4,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-04-5bd55c2db886,4,specificity,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-5e75890e4f22,4,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-74e692ba4583,4,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-04-75c7b4e5ad53,4,auc,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-797362e3c264,4,auc,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-8017700eb531,4,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-04-8aefa4c7146a,4,auc,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-998a3ac8cef0,4,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-04-9b9d5e6abd7f,4,specificity,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-a22d04483be3,4,imaging_modality,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-04-a53a27c3a390,4,sensitivity,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-a7e85f15d5de,4,specificity,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-b481b5181859,4,sensitivity,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-b4f9ff10b33a,4,imaging_modality,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-04-b6ad8c86d58f,4,specificity,3,3,2,false,false,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-b6fb0a4f1e3a,4,auc,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-b9613c15090e,4,auc,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-ce324f7330ec,4,auc,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-04-d065628e8133,4,task,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-04-d43c2d3b09bf,4,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-04-d5dcf9052ad5,4,imaging_modality,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-04-e1ab37341e56,4,auc,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-e5695d5ff84b,4,auc,3,3,1,true,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-04-e57014208fe7,4,imaging_modality,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-04-e950b319e821,4,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-04-f3f150bd4d8e,4,imaging_modality,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-04-f9c32ee363c5,4,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-05-02b9ad7f99ec,5,study_design,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-05-18ec989334c2,5,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-05-1f69a3fc7676,5,outcome,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-05-2396170d23fc,5,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-244fbbc6839c,5,programme,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-05-441c3deeedc7,5,programme,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-05-4dbf23906104,5,effect_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-5820ab3be0b8,5,programme,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-05-68430b2e7c32,5,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-694aebc6fb78,5,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-6d017cb0d2f3,5,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-05-6e3e7f2a2f10,5,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-6fdb150ab941,5,effect_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-05-7b5c8eed08ac,5,effect_size,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-7e15f192e386,5,sample_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-05-8831ecc61e3e,5,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-05-a87e338997f9,5,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-05-b76c259f0d5c,5,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-d6f9f4c32598,5,ci_upper,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-05-e4501ffb93fa,5,outcome,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-05-e78e614068e1,5,country,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-05-f9bfe0b95a07,5,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-05-fc91c259dd10,5,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-06-1d233be8ea42,6,sample_size,3,3,3,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-06-2db25c8bb412,6,outcome,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-06-3a96c50e327e,6,study_design,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-06-3cd6ea7118fd,6,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-06-4703f98477d9,6,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-06-5c903d300ffa,6,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-06-5d2087418c99,6,platform,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-06-620a8e475878,6,platform,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-06-67e87c1a46ac,6,age_group,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-06-68c0dfc0be26,6,platform,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-06-6f020cee8292,6,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-06-7528ed36aea0,6,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-06-7b4043c6ad89,6,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-06-839d3b5abf4a,6,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-06-89f897b6c350,6,study_design,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-06-9fc3ae002429,6,outcome,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-06-a424e9aa6b37,6,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-06-c5046c35f1c1,6,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-06-cfd084389dc1,6,platform,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-06-e1976a0accda,6,age_group,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-07-05296fa6662c,7,recidivism_rate_treatment,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-07-167f3ad9e708,7,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-07-2b9f3517a9b9,7,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-07-47b793b956cd,7,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-07-612d3b4c739b,7,recidivism_rate_treatment,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-07-617056d489da,7,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-07-684ad565297c,7,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-07-6f441aca3027,7,follow_up_months,3,3,1,true,true,0.0,other_numeric,numeric,nonnull
extraction,EXT-07-8d142e3f52b0,7,outcome,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-07-9d256c233083,7,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-07-a05dec363006,7,recidivism_rate_control,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-07-a582f45d1759,7,recidivism_rate_treatment,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-07-c15fe9c55253,7,follow_up_months,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-07-cf1fdf987616,7,follow_up_months,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-07-d95ac826bd7c,7,study_design,3,3,2,false,true,,categorical,categorical,null
extraction,EXT-07-e8935ce627e3,7,follow_up_months,3,3,1,true,true,0.0,other_numeric,numeric,nonnull
extraction,EXT-07-ef2ab604e3f3,7,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-07-f86ab4ecb079,7,follow_up_months,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-07-fd0246db9354,7,study_design,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-08-0403aabbd690,8,year,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-08-0661122c8f18,8,gap_percent,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-08-128c043c7510,8,country,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-08-176ad75497e6,8,year,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-08-1773230962a1,8,study_design,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-08-27beb7121ac0,8,year,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-08-289c5c2b8fbe,8,gap_percent,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-08-2c21409a6c07,8,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-08-2c3ee8f1a744,8,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-08-362c635b55e3,8,gap_measure,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-08-3b971226cd11,8,country,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-08-41c270b428cf,8,year,3,3,3,false,false,,other_numeric,numeric,nonnull
extraction,EXT-08-4570fbe12d14,8,country,3,3,2,false,false,,categorical,categorical,nonnull
extraction,EXT-08-47c67df9f969,8,gap_percent,3,3,3,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-08-49a4c37d57df,8,gap_percent,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-08-4cbacf67c9fb,8,sector,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-08-512737a36db8,8,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-08-625f705407b3,8,year,3,3,2,false,false,,other_numeric,numeric,nonnull
extraction,EXT-08-6912b4b58308,8,year,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-08-763a4eaec94b,8,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-08-7c1e29978501,8,year,3,3,2,false,true,,other_numeric,numeric,nonnull
extraction,EXT-08-80394914a590,8,year,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-08-86300d76090b,8,gap_measure,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-08-8877a115ae9c,8,year,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-08-8d15ceec2e12,8,sector,3,3,2,false,true,,categorical,categorical,null
extraction,EXT-08-9569682dbef8,8,year,3,3,1,true,true,0.0,other_numeric,numeric,nonnull
extraction,EXT-08-9acd1f8c7df1,8,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-08-9e23ac053d00,8,country,3,3,3,false,false,,categorical,categorical,nonnull
extraction,EXT-08-aa6fba7298de,8,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-08-b6d41cdf5e51,8,year,3,3,1,true,true,,other_numeric,numeric,nonnull
extraction,EXT-08-b8bbfd78e2bf,8,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,null
extraction,EXT-08-ba5070c57678,8,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-08-bc6981a0a6a9,8,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-08-cc774269b88b,8,year,3,3,1,true,true,,other_numeric,numeric,null
extraction,EXT-08-d2d5723c076e,8,country,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-08-d5a3f5c850da,8,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-08-e267b7a3cc65,8,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-08-e799eb9a2b38,8,country,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-08-ef2470e14401,8,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-08-f5aac0eeec6b,8,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,null
extraction,EXT-09-06dc086cca03,9,effect_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-09-0905a5c68a7c,9,subject,3,3,3,false,true,,categorical,categorical,null
extraction,EXT-09-21d1da1f3527,9,system_name,3,3,3,false,false,,categorical,categorical,nonnull
extraction,EXT-09-245442873dca,9,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-09-2882e874b33b,9,effect_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-09-2933dfbd2118,9,effect_size,3,3,2,false,true,24.75,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-09-300473af1c2e,9,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-09-397892f527bd,9,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-09-56c2a664a743,9,subject,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-09-6addaa4f1ae3,9,system_name,3,3,2,false,false,,categorical,categorical,nonnull
extraction,EXT-09-937b48543a47,9,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-09-a2b32280421c,9,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-09-b15c7f27b980,9,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-09-c120edbebf18,9,ci_upper,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-09-d7f3949b777d,9,grade_level,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-09-e01be39ca2f3,9,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-09-f22c65747fd9,9,sample_size,3,3,2,false,false,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-09-f48356fe74eb,9,subject,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-09-fb35622ea8a1,9,country,3,3,2,false,false,,categorical,categorical,nonnull
extraction,EXT-09-fd5b452d5761,9,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-10-082fec0a07ba,10,study_design,3,3,3,false,true,,categorical,categorical,nonnull
extraction,EXT-10-1ef9de2b2af3,10,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-1fdcd428c1c7,10,outcome_measure,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-10-3b388c5e1659,10,game_type,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-10-3ead7cd8d8be,10,effect_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-5dfe3747c6fb,10,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-10-5e22bff36fc5,10,ci_upper,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-10-5fdec03ec15f,10,game_type,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-10-68a560ffd9c5,10,sample_size,3,3,2,false,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-8448c06d9859,10,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-10-9b3e6341f113,10,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-a7403e725a2d,10,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-10-b7c77a819ccc,10,country,3,3,2,false,false,,categorical,categorical,nonnull
extraction,EXT-10-ba4a40ddf967,10,ci_lower,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-10-d3e295b9f64f,10,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-d55863b555f5,10,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-df72d5ee125e,10,ci_upper,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-e2a1b70d436d,10,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-10-e2dcf141c17c,10,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-10-efbd0de23ab3,10,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-10-fa84d21251d7,10,ci_lower,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-10-fc7b8db415f5,10,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-11-08e8e6ae3731,11,school_level,3,3,3,false,false,,categorical,categorical,null
extraction,EXT-11-0ec173167d14,11,school_level,3,3,2,false,false,,categorical,categorical,null
extraction,EXT-11-0f5b06e748c0,11,effect_size,3,3,1,true,true,,potentially_synthesis_critical,numeric,null
extraction,EXT-11-22cb7e3dbec0,11,class_size_control,3,3,1,true,true,,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-11-2383a5deebe6,11,country,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-11-251805ff0958,11,class_size_treatment,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
extraction,EXT-11-326a8355ca88,11,effect_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,null
extraction,EXT-11-3a5b073a43eb,11,school_level,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-11-3daec9e37e26,11,school_level,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-11-4d585119af47,11,study_design,3,3,2,false,true,,categorical,categorical,nonnull
extraction,EXT-11-52156f8be423,11,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-11-523c1a7480d0,11,country,3,3,1,true,true,,categorical,categorical,null
extraction,EXT-11-531b7ec008a0,11,country,3,3,1,true,true,,categorical,categorical,nonnull
extraction,EXT-11-5888ae6f6a86,11,sample_size,3,3,1,true,true,0.0,potentially_synthesis_critical,numeric,nonnull
