ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
10.5194/egusphere-egu26-16259,10.5194/egusphere-egu26-16259,Cost-effectiveness of blue-green infrastructure strategies for urban heat mitigation,2026.0,Yin Yuxin; Manoli Gabriele; Cook Lauren,,"<jats:p>Urban heat stress is intensifying under climate change, challenging cities to identify mitigation strategies that are not only effective but also economically viable over long planning periods. Blue Green Infrastructures (BGI), such as trees, bioretention cells, porous pavement, ponds, have been increasingly promoted as a key measure to mitigate heat stress. While some studies have assessed the cooling potential of individual BGI interventions, the effects of combining these elements and their long-term cost-effectiveness under future climates have not yet been thoroughly evaluated. The goal of this study is to evaluate which urban heat mitigation strategies provide the greatest thermal benefits per unit cost over their lifetime.To do so, we used a microclimate model (UT&amp;C) to simulate Universal Thermal Climatic Index (UTCI) within 3 standardized urban canyons across three Swiss cities (Zurich, Geneva, and Lugano). Simulations are conducted for three decadal periods corresponding to present-day conditions (2015–2025, observations), mid-century (2050), and late-century (2080) climates, derived from the convection-permitting COSMO-CLM regional climate model and bias-corrected to the station scale. Across four baseline scenarios characterized by different vegetation quantity and quality, we implement a set of single and combined BGI and management scenarios that vary tree coverage, ground vegetation coverage, vegetation species selection, bioretention cells, porous pavements, ponds, and irrigation strategies. Model outputs of thermal comfort are integrated with cost data from the literature to compute cost-effectiveness metrics.Preliminary results for Zurich indicate that eight individual interventions reduce the median UTCI by -0.1–1.2 °C across the baseline scenarios under current climate conditions. Increased tree coverage consistently shows the strongest cooling performance, particularly under low-vegetation baseline conditions. Future work will assess combined intervention scenarios and their lifetime cost-effectiveness. Overall, this work provides insights for prioritizing urban heat mitigation strategies by jointly considering thermal performance and economic efficiency under climate change.</jats:p>",,,0.5,Include,Include,Matches 6 inclusion term(s).
10.3390/w12123577,10.3390/w12123577,Green Infrastructure as an Urban Heat Island Mitigation Strategy—A Review,2020.0,Balany Fatma; Ng Anne WM; Muttil Nitin; Muthukumaran Shobha; Wong Man Sing,Water,"<jats:p>Research on urban heat mitigation has been growing in recent years with many of the studies focusing on green infrastructure (GI) as a strategy to mitigate the adverse effects of an urban heat island (UHI). This paper aims at presenting a review of the range of findings from GI research for urban heat mitigation through a review of scientific articles published during the years 2009–2020. This research includes a review of the different types of GI and its contribution for urban heat mitigation and human thermal comfort. In addition to analysing different mitigation strategies, numerical simulation tools that are commonly used are also reviewed. It is seen that ENVI-met is one of the modelling tools that is considered as a reliable to simulate different mitigation strategies and hence has been widely used in the recent past. Considering its popularity in urban microclimate studies, this article also provides a review of ENVI-met simulation results that were reported in the reviewed papers. It was observed that the majority of the research was conducted on a limited spatial scale and focused on temperature and human thermal comfort.</jats:p>",,,0.5,Include,Include,Matches 6 inclusion term(s).
10.20944/preprints202009.0018.v1,10.20944/preprints202009.0018.v1,Green Infrastructure as an Urban Heat Island Mitigation Strategy - A Review,2020.0,balany Fatma; Ng A.W.M; Muttil Nitin; Muthukumaran Shobha; Wong Man Sing,,"<jats:p>Research on urban heat mitigation has been growing in recent years with many of the studies focusing on green infrastructure (GI) as a strategy to mitigate the adverse effects of Urban Heat Island (UHI). This paper aims at presenting a review of the range of findings from GI research for urban heat mitigation through a review of scientific articles published during the years 2009-2019. This research includes a review of the different types of GI and its contribution for urban heat mitigation and human thermal comfort. In addition to analyzing different mitigation strategies, numerical simulation tools that are commonly used are also reviewed. It is seen that ENVI-met is one of the modelling tools that is considered as a reliable tool to simulate different mitigation strategies and hence has been widely used in the recent past. Considering its popularity in urban microclimate studies, this article also provides a review of ENVI-met simulation results that were reported in the reviewed papers. It was observed that the majority of the research was conducted on a limited spatial scale and focused on temperature and human thermal comfort.</jats:p>",,,0.5,Include,Include,Matches 6 inclusion term(s).
10.2139/ssrn.4486192,10.2139/ssrn.4486192,Street-Level Urban Heat Island Mitigation: Assessing Cooling Effect of Green Infrastructure Using Urban Iot Sensor Big Data,2023.0,Jang Seonju; Bae Jinhyun; Kim YouJoung,,,,,0.5,Include,Include,Matches 6 inclusion term(s).
10.1016/j.scs.2023.105007,10.1016/j.scs.2023.105007,Street-level urban heat island mitigation: Assessing the cooling effect of green infrastructure using urban IoT sensor big data,2024.0,Jang Seonju; Bae Jinhyun; Kim YouJoung,Sustainable Cities and Society,,,,0.5,Include,Include,Matches 6 inclusion term(s).
10.22214/ijraset.2024.62688,10.22214/ijraset.2024.62688,"Urban Heat Island Mitigation Through Blue, Green &amp; Grey Infrastructure - A Case Study of BMC-Bhubaneswar",2024.0,Parida Tapas Kumar,International Journal for Research in Applied Science and Engineering Technology,"<jats:p>Abstract: The rapid development in urban areas, especially in the central business district can result a number of consequences related to urban heat island (UHI), as it increases both the surface albedo and anthropogenic heat which led to rise the temperature in the certain areas. This research aims to investigate existing actions and determine possible strategies for mitigating UHI, a case study of Bhubaneswar, Odisha.</jats:p>",,,0.5,Include,Include,Matches 6 inclusion term(s).
10.1016/j.ufug.2019.04.014,10.1016/j.ufug.2019.04.014,Cooling Detroit: A socio-spatial analysis of equity in green roofs as an urban heat island mitigation strategy,2019.0,Sanchez Lino; Reames Tony G.,Urban Forestry &amp; Urban Greening,,,,0.5,Include,Include,Matches 6 inclusion term(s).
10.2139/ssrn.6750589,10.2139/ssrn.6750589,"Green Building Certification, Green Infrastructure, and Scale Mismatch in Tropical Urban Heat Mitigation in Indonesia",2026.0,Wazir Zuber  Angkasa; Shari Zalina; M Kamil Erfan,,"<jats:p>Urban heat mitigation in dense tropical cities often follows two intervention logics: building-level measures promoted through green building certification (GBC) and area-based strategies linked to green infrastructure (GI). However, these approaches operate across different spatial and thermal domains. This study examines whether this misalignment helps explain why certified buildings do not necessarily produce broader urban cooling. Using an explanatory sequential mixed-methods design, the study combined a systematic literature review of 35 eligible studies from dense tropical-city contexts with a perception survey of 75 built-environment practitioners in Indonesia. The review mapped mitigation strategies across micro-scale building- and site-based measures and macro-scale GI-based strategies. A quantitative subsample compared reported thermal-change values without assuming direct equivalence across heterogeneous metrics. The survey assessed perceived effectiveness, implementation barriers, and the exploratory association between professional experience and support for area-based strategies. The findings indicate that building- and site-level measures are more often linked to localized indoor, surface, canyon, or near-building benefits. By contrast, area-based ecological strategies are more consistently associated with outdoor, district-level, and city-relevant cooling functions. Practitioner responses followed a similar pattern. Integrated spatial planning and public vegetation received higher effectiveness ratings than building-centered measures, while weak regulation and limited cross-sectoral coordination emerged as major implementation barriers. Conceptually, the study positions scale mismatch as an explanation for the certification paradox in tropical urban heat mitigation. Practically, it suggests that GBC should be treated as a complementary micro-level instrument, while broader cooling policy should prioritize connected ecological networks, public vegetation systems, and formal spatial planning.</jats:p>",,,0.5,Include,Include,Matches 6 inclusion term(s).
10.31706/jees25030091,10.31706/jees25030091,Dynamic Modeling of Urban Heat Island Effect and Mitigation  Strategies Based on Green Infrastructure,2025.0,,Journal of Environment and Energy Systems,,,,0.417,Include,Include,Matches 5 inclusion term(s).
10.1007/978-981-96-8746-6_13,10.1007/978-981-96-8746-6_13,Cost and Benefit of Green Infrastructures in Urban Heat Island Mitigation,2025.0,Azis Shazmin Shareena Ab.; Baskaran Shastitharran,Disaster Risk Reduction,,,,0.417,Include,Include,Matches 5 inclusion term(s).
10.1201/9781003562986-5,10.1201/9781003562986-5,Assessment of Optimal Size of Urban Blue-Green Space Based on Cooling Effect as an Urban Heat Island Mitigation Strategy,2026.0,Kumar Somendra; Sharma Vipasha; Banoo Hakima,Geospatial Technologies,,,,0.417,Include,Include,Matches 5 inclusion term(s).
10.5772/intechopen.115085,10.5772/intechopen.115085,Cooling Effect of Urban Green Space: A Nature-Based Solution for Mitigation of Urban Heat,2024.0,Soltanifard Hadi,Sustainable Development,"<jats:p>Today, urban green space (UGS) is recognized as a nature-based solution to alleviate heat in urban environments by intensifying hot surfaces in urban areas. This chapter aims to provide a comprehensive understanding of the cooling effect of UGS, its characteristics, mechanisms, and their implementation in urban planning and design to combat urban warming concerns. This chapter aims to outline relevant contents in three sections: (1) Cooling effects of UGS: mechanisms and dimensions, which will be allocated to explore the diverse mechanisms that contribute to the cooling performance of UGS in urban areas regarding their physical and spatial features; (2) Quantification of the cooling effect of UGS: methods and implementations. This section will focus on recent quantitative methods and implementations at an urban scale to apply in urban planning and design processes; and (3) Planning and design of cooling cities: urban greening challenges and strategies will provide an overview of urban planning and design approaches, current challenges and recommending effective integrated solutions to improve cooling efficiency.</jats:p>",,,0.417,Include,Include,Matches 5 inclusion term(s).
10.2139/ssrn.5173644,10.2139/ssrn.5173644,"The Role of Green-Blue-Grey Infrastructure in Urban Heat Island Mitigation in Budapest, Hungary",2025.0,Horanyi Agoston  M.; Thorn Jessica,,,,,0.417,Include,Include,Matches 5 inclusion term(s).
10.2139/ssrn.4773511,10.2139/ssrn.4773511,Monitoring Influential Variables to the Cooling Capacity of Green Infrastructure to Mitigate Diurnal Urban Heat Island Effect with Landsat Imagery,2024.0,Liu Chih-chen; Tu Min-cheng; Lin Jhen-yang,,,,,0.417,Include,Include,Matches 5 inclusion term(s).
10.2139/ssrn.4571514,10.2139/ssrn.4571514,Impact of an Enhanced Green Infrastructure on the Canopy Urban Heat Island Effect in the Metropolitan Region of São Paulo,2023.0,Jericó Daminello Stefano; Ribeiro Flávia  Noronha Dutra,,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.2139/ssrn.4049664,10.2139/ssrn.4049664,"Unravelling the Urban Heat Island Phenomenon in the Netherlands. A Multicity Spatial Analysis on the Distributive component of Environmental Justice, analysing the Urban Green Infrastructure, and the Urban Heat Island Effect.",2022.0,Amado Clara,SSRN Electronic Journal,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.21275/sr251103183339,10.21275/sr251103183339,"Mitigating the Urban Heat Island Effect in Dense Neighborhoods: Sustainable Materials, Green Infrastructure, and Passive Design Strategies",2025.0,Suri Azarya,International Journal of Science and Research (IJSR),,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.1201/9781003768661-6,10.1201/9781003768661-6,Quantifying Urban Heat Island Mitigation Potential of Urban Green Spaces: A Case Study of Bhopal City,2026.0,Dwivedi Aishwarya; Soni Rajat,Emerging Agenda in Sustainable Infrastructure Development,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.5194/egusphere-egu21-2514,10.5194/egusphere-egu21-2514,The mitigation effect of urban green infrastructure (UGI) on urban waterlogging,2021.0,Zhang Qifei; Wu Zhifeng; Tarolli Paolo,,"<jats:p>&amp;lt;p&amp;gt;With the acceleration of urbanization, the impervious surfaces of urban areas have increased dramatically, changing the natural water cycle of the city. It is of great significance for the improvement of urban living environment and the risk management of urban waterlogging to fully understand and play the positive role of UGI in alleviating urban waterlogging. This study attempts to identify the critical factors that alleviate urban waterlogging and examine the effectiveness and stability of UGI in mitigating urban waterlogging in multiple locations. We looked at two highly-urbanized Chinese cities (Guangzhou and Shenzhen) in a comparative study. The waterlogging records from 2009 to 2015 were obtained from the local water authority and the UGI was extracted from the 0.5-m resolution remote sensing images. The complex relationship between urban waterlogging and green infrastructure was quantified and compared through partial redundancy analysis and piecewise linear regression after controlling the conditions of topography, precipitation, and drainage network. The results indicated that the spatial distribution of urban waterlogging events presents a strong agglomeration effect, while the clustering pattern varies in different cities. Furthermore, after controlling the impact of elevation, rainfall, and drainage network, the area percentage and biophysical parameters of green infrastructure are the two most important factors to alleviate urban waterlogging. The influence of these two factors on urban waterlogging is consistent in different cities. This result indicates that more attention should be paid to the area size of green infrastructure and its vegetation biophysical parameters to mitigate urban waterlogging magnitude to the greatest extent. However, the area of green infrastructure must be controlled within a certain range in order to play a corresponding role in alleviating urban waterlogging. We also found that the spatial configuration of UGI also matters. Holding UGI&amp;amp;#8217;s composition constant, the degree of urban waterlogging can be reduced by optimizing the spatial configuration of UGI. This finding provides additional insights that the urban waterlogging can be alleviated by balancing the relative composition of UGI as well as by optimizing their spatial configuration, which is particularly important for a highly urbanized area where land resources for UGI are scarce. This study expands our understanding of the complex mechanism of UGI on urban waterlogging mitigation and provides beneficial enlightenment for the design of UGI.&amp;lt;/p&amp;gt;</jats:p>",,,0.333,Include,Include,Matches 4 inclusion term(s).
10.37285/bsp.ic2uhi.43,10.37285/bsp.ic2uhi.43,"Use Urban Green as a Mitigation Strategy to Combat Urban Heat Island Effect: A Case of Puri-Cuttack Road, Bhubaneswar, Odisha",2022.0,Dasgupta Sukanya; Roy Nilanjana; Dudam Bharath Kumar,5th International Conference on Countermeasures to Urban Heat Islands,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.2139/ssrn.4951874,10.2139/ssrn.4951874,Effective Cooling Networks: Optimizing Corridors for Urban Heat Island Mitigation,2024.0,Rezaei Teimour; Shen Xinyuan; Chaiyarat Rattanawat; Pumijumnong Nathsuda,,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.1021/acs.est.3c11048.s001,10.1021/acs.est.3c11048.s001,Cooling Effect of Green Spaces on Urban Heat Island in a Chinese Megacity: Increasing Coverage versus Optimizing Spatial Distribution,,,,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.1007/978-3-031-62293-9_4,10.1007/978-3-031-62293-9_4,Understanding the Role of Blue-Green Infrastructure in Abatement of Urban Heat Island Effect,2024.0,Gupta Kshama; Ghale Bhoomika; Sarath R.; Kaur Ravnish; Roy Arijit,Blue-Green Infrastructure for Sustainable Urban Settlements,,,,0.333,Include,Include,Matches 4 inclusion term(s).
10.4236/ojapps.2024.1411207,10.4236/ojapps.2024.1411207,The Role of Green Infrastructure in Mitigating the Urban Heat Island Effect,2024.0,Yuan Tongfang,Open Journal of Applied Sciences,,,,0.333,Include,Include,Matches 4 inclusion term(s).
