case_id,slug,n_records,mean_cat_accuracy,mean_num_accuracy,accuracy_basis,study_design_accuracy,study_design_method,country_accuracy,country_method,population_accuracy,population_method,intervention_accuracy,intervention_method,comparison_accuracy,comparison_method,outcome_accuracy,outcome_method,sample_size_accuracy,sample_size_method,effect_size_accuracy,effect_size_method,ci_lower_accuracy,ci_lower_method,ci_upper_accuracy,ci_upper_method,drug_accuracy,drug_method,follow_up_years_accuracy,follow_up_years_method,hazard_ratio_accuracy,hazard_ratio_method,imaging_modality_accuracy,imaging_modality_method,ai_model_type_accuracy,ai_model_type_method,task_accuracy,task_method,sensitivity_accuracy,sensitivity_method,specificity_accuracy,specificity_method,auc_accuracy,auc_method,programme_accuracy,programme_method,platform_accuracy,platform_method,age_group_accuracy,age_group_method,programme_type_accuracy,programme_type_method,follow_up_months_accuracy,follow_up_months_method,recidivism_rate_treatment_accuracy,recidivism_rate_treatment_method,recidivism_rate_control_accuracy,recidivism_rate_control_method,sector_accuracy,sector_method,gap_measure_accuracy,gap_measure_method,year_accuracy,year_method,gap_percent_accuracy,gap_percent_method,system_name_accuracy,system_name_method,subject_accuracy,subject_method,grade_level_accuracy,grade_level_method,game_type_accuracy,game_type_method,outcome_measure_accuracy,outcome_measure_method,education_level_accuracy,education_level_method,school_level_accuracy,school_level_method,class_size_treatment_accuracy,class_size_treatment_method,class_size_control_accuracy,class_size_control_method,llm_tool_accuracy,llm_tool_method,use_case_accuracy,use_case_method,discipline_accuracy,discipline_method,outcome_direction_accuracy,outcome_direction_method,mpa_type_accuracy,mpa_type_method,species_group_accuracy,species_group_method,years_protected_accuracy,years_protected_method,forest_type_accuracy,forest_type_method,age_years_accuracy,age_years_method,carbon_stock_tC_ha_accuracy,carbon_stock_tC_ha_method,fuel_type_accuracy,fuel_type_method,water_body_type_accuracy,water_body_type_method,polymer_type_accuracy,polymer_type_method,concentration_items_L_accuracy,concentration_items_L_method,model_name_accuracy,model_name_method,benchmark_accuracy,benchmark_method,task_type_accuracy,task_type_method,accuracy_percent_accuracy,accuracy_percent_method,parameter_count_B_accuracy,parameter_count_B_method,aggregation_algorithm_accuracy,aggregation_algorithm_method,privacy_mechanism_accuracy,privacy_mechanism_method,dataset_accuracy,dataset_method,n_clients_accuracy,n_clients_method,privacy_budget_epsilon_accuracy,privacy_budget_epsilon_method,ethical_framework_accuracy,ethical_framework_method,application_domain_accuracy,application_domain_method,methodology_accuracy,methodology_method,key_principle_accuracy,key_principle_method,industry_sector_accuracy,industry_sector_method,dl_architecture_accuracy,dl_architecture_method,fault_type_accuracy,fault_type_method,dataset_size_accuracy,dataset_size_method,f1_score_accuracy,f1_score_method
11,class_size_achievement,253,0.9787,0.7899,judge verdict,0.9947,judge_verdict,0.9765,judge_verdict,,,,,,,,,0.9902,judge_verdict,0.9697,judge_verdict,0.0,nonnull_rate_fallback,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9648,judge_verdict,0.913,judge_verdict,0.8667,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,llm_higher_education,1720,0.9943,0.9855,judge verdict,0.9964,judge_verdict,0.9929,judge_verdict,,,,,,,,,0.9855,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907,judge_verdict,0.9976,judge_verdict,0.9967,judge_verdict,0.9915,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,marine_protected_areas,340,0.9842,0.9767,judge verdict,0.9964,judge_verdict,0.9688,judge_verdict,,,,,,,,,0.991,judge_verdict,0.9756,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978,judge_verdict,0.9937,judge_verdict,0.9167,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,reforestation_carbon,1086,0.9917,0.9775,judge verdict,1.0,judge_verdict,0.9946,judge_verdict,,,,,,,,,0.9948,judge_verdict,0.9937,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9806,judge_verdict,0.9425,judge_verdict,0.9789,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,indoor_air_pollution_health,1350,0.9909,0.9885,judge verdict,0.9926,judge_verdict,0.9931,judge_verdict,,,,,,,0.9918,judge_verdict,0.9918,judge_verdict,0.9983,judge_verdict,0.982,judge_verdict,0.982,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9862,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,microplastics_freshwater,200,1.0,0.8479,judge verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,0.93,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,judge_verdict,1.0,judge_verdict,0.7658,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,llm_reasoning_benchmarks,200,0.9913,0.8494,judge verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8889,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9653,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,0.8814,judge_verdict,0.7778,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,federated_learning_privacy,200,0.9942,0.9697,judge verdict,0.9941,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,judge_verdict,,,0.9905,judge_verdict,1.0,judge_verdict,0.9922,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,
19,ai_ethics_autonomous_systems,200,0.9938,1.0,judge verdict,1.0,judge_verdict,,,,,,,,,,,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,judge_verdict,0.9949,judge_verdict,0.9795,judge_verdict,0.9948,judge_verdict,,,,,,,,,,
20,deep_learning_predictive_maintenance,200,0.9987,0.8766,judge verdict,1.0,judge_verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9538,judge_verdict,,,,,,,,,,,,,,,,,,,,,0.9949,judge_verdict,1.0,judge_verdict,1.0,judge_verdict,0.9259,judge_verdict,0.75,judge_verdict
