component,case_id,field_class,null_status,historical_verdict,population_count,planned_initial_sample
extraction,3,other_numeric,nonnull,UNVERIFIABLE,1,1
extraction,3,other_numeric,null,CORRECT,2,2
extraction,3,other_numeric,null,INCORRECT,7,7
extraction,3,other_numeric,null,UNVERIFIABLE,526,10
extraction,3,potentially_synthesis_critical,nonnull,CORRECT,1642,10
extraction,3,potentially_synthesis_critical,nonnull,INCORRECT,19,10
extraction,3,potentially_synthesis_critical,nonnull,UNVERIFIABLE,1,1
extraction,3,potentially_synthesis_critical,null,CORRECT,15,10
extraction,3,potentially_synthesis_critical,null,INCORRECT,11,10
extraction,3,potentially_synthesis_critical,null,UNVERIFIABLE,1676,10
extraction,4,categorical,nonnull,CORRECT,8291,10
extraction,4,categorical,nonnull,INCORRECT,58,10
extraction,4,categorical,nonnull,UNVERIFIABLE,119,10
extraction,4,categorical,null,CORRECT,9,9
extraction,4,categorical,null,UNVERIFIABLE,1299,10
extraction,4,potentially_synthesis_critical,nonnull,CORRECT,4436,10
extraction,4,potentially_synthesis_critical,nonnull,INCORRECT,252,10
extraction,4,potentially_synthesis_critical,nonnull,UNVERIFIABLE,26,10
extraction,4,potentially_synthesis_critical,null,CORRECT,6,6
extraction,4,potentially_synthesis_critical,null,INCORRECT,2,2
extraction,4,potentially_synthesis_critical,null,UNVERIFIABLE,5054,10
extraction,5,categorical,nonnull,CORRECT,1744,10
extraction,5,categorical,nonnull,INCORRECT,9,9
extraction,5,categorical,nonnull,UNVERIFIABLE,4,4
extraction,5,categorical,null,UNVERIFIABLE,119,10
extraction,5,potentially_synthesis_critical,nonnull,CORRECT,193,10
extraction,5,potentially_synthesis_critical,nonnull,INCORRECT,6,6
extraction,5,potentially_synthesis_critical,null,UNVERIFIABLE,1677,10
extraction,6,categorical,nonnull,CORRECT,2444,10
extraction,6,categorical,nonnull,INCORRECT,27,10
extraction,6,categorical,nonnull,UNVERIFIABLE,46,10
extraction,6,categorical,null,CORRECT,3,3
extraction,6,categorical,null,UNVERIFIABLE,400,10
extraction,6,potentially_synthesis_critical,nonnull,CORRECT,781,10
extraction,6,potentially_synthesis_critical,nonnull,INCORRECT,8,8
extraction,6,potentially_synthesis_critical,nonnull,UNVERIFIABLE,1,1
extraction,6,potentially_synthesis_critical,null,CORRECT,1,1
extraction,6,potentially_synthesis_critical,null,UNVERIFIABLE,1545,10
extraction,7,categorical,nonnull,CORRECT,252,10
extraction,7,categorical,nonnull,INCORRECT,2,2
extraction,7,categorical,nonnull,UNVERIFIABLE,1,1
extraction,7,categorical,null,UNVERIFIABLE,53,10
extraction,7,other_numeric,nonnull,CORRECT,23,10
extraction,7,other_numeric,nonnull,UNVERIFIABLE,1,1
extraction,7,other_numeric,null,UNVERIFIABLE,53,10
extraction,7,potentially_synthesis_critical,nonnull,CORRECT,42,10
extraction,7,potentially_synthesis_critical,nonnull,INCORRECT,1,1
extraction,7,potentially_synthesis_critical,null,UNVERIFIABLE,188,10
extraction,8,categorical,nonnull,CORRECT,832,10
extraction,8,categorical,nonnull,INCORRECT,15,10
extraction,8,categorical,nonnull,UNVERIFIABLE,8,8
extraction,8,categorical,null,CORRECT,29,10
extraction,8,categorical,null,UNVERIFIABLE,348,10
extraction,8,other_numeric,nonnull,CORRECT,116,10
extraction,8,other_numeric,nonnull,INCORRECT,12,10
extraction,8,other_numeric,nonnull,UNVERIFIABLE,4,4
extraction,8,other_numeric,null,CORRECT,3,3
extraction,8,other_numeric,null,UNVERIFIABLE,173,10
extraction,8,potentially_synthesis_critical,nonnull,CORRECT,68,10
extraction,8,potentially_synthesis_critical,nonnull,INCORRECT,2,2
extraction,8,potentially_synthesis_critical,null,CORRECT,1,1
extraction,8,potentially_synthesis_critical,null,UNVERIFIABLE,545,10
extraction,9,categorical,nonnull,CORRECT,1907,10
extraction,9,categorical,nonnull,INCORRECT,8,8
extraction,9,categorical,nonnull,UNVERIFIABLE,5,5
extraction,9,categorical,null,UNVERIFIABLE,980,10
extraction,9,potentially_synthesis_critical,nonnull,CORRECT,419,10
extraction,9,potentially_synthesis_critical,nonnull,INCORRECT,3,3
extraction,9,potentially_synthesis_critical,null,UNVERIFIABLE,1898,10
extraction,10,categorical,nonnull,CORRECT,1410,10
extraction,10,categorical,nonnull,INCORRECT,12,10
extraction,10,categorical,nonnull,UNVERIFIABLE,9,9
extraction,10,categorical,null,CORRECT,2,2
extraction,10,categorical,null,UNVERIFIABLE,337,10
extraction,10,potentially_synthesis_critical,nonnull,CORRECT,238,10
extraction,10,potentially_synthesis_critical,nonnull,INCORRECT,5,5
extraction,10,potentially_synthesis_critical,null,UNVERIFIABLE,1173,10
extraction,11,categorical,nonnull,CORRECT,589,10
extraction,11,categorical,nonnull,INCORRECT,13,10
extraction,11,categorical,nonnull,UNVERIFIABLE,7,7
extraction,11,categorical,null,UNVERIFIABLE,150,10
extraction,11,potentially_synthesis_critical,nonnull,CORRECT,167,10
extraction,11,potentially_synthesis_critical,nonnull,INCORRECT,6,6
extraction,11,potentially_synthesis_critical,null,CORRECT,1,1
extraction,11,potentially_synthesis_critical,null,UNVERIFIABLE,1344,10
extraction,12,categorical,nonnull,CORRECT,7284,10
extraction,12,categorical,nonnull,INCORRECT,39,10
extraction,12,categorical,nonnull,UNVERIFIABLE,69,10
extraction,12,categorical,null,CORRECT,8,8
extraction,12,categorical,null,UNVERIFIABLE,2920,10
extraction,12,potentially_synthesis_critical,nonnull,CORRECT,591,10
extraction,12,potentially_synthesis_critical,nonnull,INCORRECT,10,10
extraction,12,potentially_synthesis_critical,null,CORRECT,90,10
extraction,12,potentially_synthesis_critical,null,UNVERIFIABLE,1029,10
extraction,13,categorical,nonnull,CORRECT,1137,10
extraction,13,categorical,nonnull,INCORRECT,18,10
extraction,13,categorical,nonnull,UNVERIFIABLE,4,4
extraction,13,categorical,null,CORRECT,2,2
extraction,13,categorical,null,UNVERIFIABLE,199,10
extraction,13,other_numeric,nonnull,CORRECT,99,10
extraction,13,other_numeric,nonnull,INCORRECT,9,9
extraction,13,other_numeric,nonnull,UNVERIFIABLE,2,2
extraction,13,other_numeric,null,UNVERIFIABLE,230,10
extraction,13,potentially_synthesis_critical,nonnull,CORRECT,164,10
extraction,13,potentially_synthesis_critical,nonnull,INCORRECT,2,2
extraction,13,potentially_synthesis_critical,null,UNVERIFIABLE,1194,10
extraction,14,categorical,nonnull,CORRECT,2433,10
extraction,14,categorical,nonnull,INCORRECT,22,10
extraction,14,categorical,nonnull,UNVERIFIABLE,37,10
extraction,14,categorical,null,CORRECT,7,7
extraction,14,categorical,null,UNVERIFIABLE,759,10
extraction,14,other_numeric,nonnull,CORRECT,328,10
extraction,14,other_numeric,nonnull,INCORRECT,20,10
extraction,14,other_numeric,nonnull,UNVERIFIABLE,2,2
extraction,14,other_numeric,null,UNVERIFIABLE,736,10
extraction,14,potentially_synthesis_critical,nonnull,CORRECT,863,10
extraction,14,potentially_synthesis_critical,nonnull,INCORRECT,10,10
extraction,14,potentially_synthesis_critical,null,CORRECT,2,2
extraction,14,potentially_synthesis_critical,null,UNVERIFIABLE,2383,10
extraction,15,categorical,nonnull,CORRECT,4552,10
extraction,15,categorical,nonnull,INCORRECT,41,10
extraction,15,categorical,nonnull,UNVERIFIABLE,81,10
extraction,15,categorical,null,CORRECT,11,10
extraction,15,categorical,null,UNVERIFIABLE,715,10
extraction,15,potentially_synthesis_critical,nonnull,CORRECT,2430,10
extraction,15,potentially_synthesis_critical,nonnull,INCORRECT,26,10
extraction,15,potentially_synthesis_critical,nonnull,UNVERIFIABLE,3,3
extraction,15,potentially_synthesis_critical,null,UNVERIFIABLE,2941,10
extraction,16,categorical,nonnull,CORRECT,704,10
extraction,16,categorical,nonnull,UNVERIFIABLE,2,2
extraction,16,categorical,null,UNVERIFIABLE,94,10
extraction,16,potentially_synthesis_critical,nonnull,CORRECT,178,10
extraction,16,potentially_synthesis_critical,nonnull,INCORRECT,33,10
extraction,16,potentially_synthesis_critical,nonnull,UNVERIFIABLE,3,3
extraction,16,potentially_synthesis_critical,null,UNVERIFIABLE,186,10
extraction,17,categorical,nonnull,CORRECT,682,10
extraction,17,categorical,nonnull,INCORRECT,5,5
extraction,17,categorical,null,UNVERIFIABLE,113,10
extraction,17,other_numeric,nonnull,CORRECT,15,10
extraction,17,other_numeric,nonnull,INCORRECT,3,3
extraction,17,other_numeric,null,UNVERIFIABLE,382,10
extraction,17,potentially_synthesis_critical,nonnull,CORRECT,52,10
extraction,17,potentially_synthesis_critical,nonnull,INCORRECT,7,7
extraction,17,potentially_synthesis_critical,null,UNVERIFIABLE,141,10
extraction,18,categorical,nonnull,CORRECT,579,10
extraction,18,categorical,nonnull,INCORRECT,3,3
extraction,18,categorical,nonnull,UNVERIFIABLE,5,5
extraction,18,categorical,null,UNVERIFIABLE,213,10
extraction,18,other_numeric,nonnull,CORRECT,20,10
extraction,18,other_numeric,nonnull,UNVERIFIABLE,2,2
extraction,18,other_numeric,null,CORRECT,1,1
extraction,18,other_numeric,null,UNVERIFIABLE,377,10
extraction,18,potentially_synthesis_critical,nonnull,CORRECT,40,10
extraction,18,potentially_synthesis_critical,nonnull,INCORRECT,4,4
extraction,18,potentially_synthesis_critical,null,UNVERIFIABLE,156,10
extraction,19,categorical,nonnull,CORRECT,810,10
extraction,19,categorical,nonnull,INCORRECT,5,5
extraction,19,categorical,nonnull,UNVERIFIABLE,2,2
extraction,19,categorical,null,UNVERIFIABLE,183,10
extraction,19,potentially_synthesis_critical,nonnull,CORRECT,20,10
extraction,19,potentially_synthesis_critical,null,UNVERIFIABLE,180,10
extraction,20,categorical,nonnull,CORRECT,704,10
extraction,20,categorical,nonnull,INCORRECT,1,1
extraction,20,categorical,nonnull,UNVERIFIABLE,4,4
extraction,20,categorical,null,UNVERIFIABLE,91,10
extraction,20,other_numeric,nonnull,CORRECT,25,10
extraction,20,other_numeric,nonnull,INCORRECT,2,2
extraction,20,other_numeric,nonnull,UNVERIFIABLE,3,3
extraction,20,other_numeric,null,UNVERIFIABLE,170,10
extraction,20,potentially_synthesis_critical,nonnull,CORRECT,65,10
extraction,20,potentially_synthesis_critical,nonnull,INCORRECT,4,4
extraction,20,potentially_synthesis_critical,null,UNVERIFIABLE,331,10
