sample_id,case_id,record_id,source_row_number,field_name,field_class,declared_type,extracted_null_status,historical_evaluator_verdict,stratum_population,stratum_sample,selection_probability,master_seed
EXT-01-83b7f91fb02b,1,b27e5bd42be96c9e7d4bdd08,2,comparison,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-bf4ee96d12f4,1,7db7d2cfc923d99a30dbd0af,15,study_design,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-2b34646099d7,1,d6824dea8373c7c39889346f,8,comparison,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-8169af27df40,1,0551306e8e3a3a795601bb61,18,study_design,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-be33396abce8,1,d0dee34630b0123c25aaae04,12,study_design,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-2244ff325100,1,dfeaee932b7d4005121d89a9,20,comparison,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-6e569ed84a54,1,99d77290142dc30a2810755b,10,country,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-3b14f3a6cd35,1,7db7d2cfc923d99a30dbd0af,15,comparison,categorical,categorical,null,UNVERIFIABLE,34,10,0.29411764705882354,20260919
EXT-01-1269051f5ac6,1,22219d5fb45fc7383c6d75ef,3,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-5ec223c39b66,1,547d74855be7453d53410176,7,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-f3a986476ff8,1,02f24e6814adb18437f4899e,19,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-54c3614ca241,1,02f24e6814adb18437f4899e,19,effect_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-9cef78ed6c7d,1,97628de7bcf71ce3ce231eec,13,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-ca3da2ba3627,1,15a19c866720bbc831acf698,22,ci_upper,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-5f4bcd06cdd7,1,cb7423be7042e9ae626131fb,9,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-6cfc68d6fab1,1,02f24e6814adb18437f4899e,19,ci_lower,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-3e7effe3d288,1,15a19c866720bbc831acf698,22,ci_lower,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-4f22f8bf0a39,1,965915a3c80d45270b158223,21,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,15,10,0.6666666666666666,20260919
EXT-01-45b0d1d16071,1,15a19c866720bbc831acf698,22,sample_size,potentially_synthesis_critical,numeric,nonnull,INCORRECT,1,1,1.0,20260919
EXT-01-7896be00e53d,1,b27e5bd42be96c9e7d4bdd08,2,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-95a115fe7504,1,0551306e8e3a3a795601bb61,18,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-e3532b460812,1,5a87503ef2c4355a53599f40,16,ci_upper,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-4d3f8bc82b5e,1,cb7423be7042e9ae626131fb,9,effect_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-d16ca2d03009,1,dfeaee932b7d4005121d89a9,20,effect_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-72278b1c4df3,1,99d77290142dc30a2810755b,10,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-26b44893be5f,1,a2a540a3512d12ae90cc0f09,17,sample_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-dea01b31ef80,1,7db7d2cfc923d99a30dbd0af,15,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-e8ff500847c7,1,d0dee34630b0123c25aaae04,12,sample_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-01-363dd55b0b25,1,d6824dea8373c7c39889346f,8,sample_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,72,10,0.1388888888888889,20260919
EXT-02-f7e33f154aa4,2,328796da525434324d346141,72,outcome,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-c65840da4bb7,2,a0fb9e540a8d04a051316d01,48,population,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-4d564f331512,2,6b1e81bd7df30fe7d08c224c,42,outcome,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-46fc406a6ab2,2,f3721d5fbf6a6fcff48fff34,17,outcome,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-52c29dd15375,2,25ba6a12cc23f80b09d3f3a2,61,intervention,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-0eb3dbf62aa3,2,99311276900bf0077319b642,41,study_design,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-cd58cc5a4348,2,5928c5bb4e4e40757de3b0dc,25,outcome,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-acca206e0c1a,2,7efff99410c500cf4eb2fa7a,12,study_design,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-00303e36b5eb,2,f68004eb2644bb8a166d3fbe,32,outcome,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-fb36b35e98dc,2,ac071d72157ff8b7d2a524a3,6,population,categorical,categorical,nonnull,CORRECT,291,10,0.03436426116838488,20260919
EXT-02-4ad14c40e8b6,2,0b47d3a34016e32154b877ac,35,country,categorical,categorical,nonnull,UNVERIFIABLE,3,3,1.0,20260919
EXT-02-393a850bd7a6,2,0fc78e1d535975c5df8effed,21,study_design,categorical,categorical,nonnull,UNVERIFIABLE,3,3,1.0,20260919
EXT-02-5397bb74fea5,2,6b1e81bd7df30fe7d08c224c,42,study_design,categorical,categorical,nonnull,UNVERIFIABLE,3,3,1.0,20260919
EXT-02-d6b3b6dc609a,2,68560ad54cc15ea3dc9f1c71,19,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-02d3cbb9f24b,2,d49f54d8f8ab237a5f2181fd,7,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-a640bf716768,2,69dd1deb9ab62d6928078820,43,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-a6b324611891,2,f68004eb2644bb8a166d3fbe,32,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-fd3ed22c8a46,2,0e4d872a858c49ed47fecdc7,67,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-fba15fa47f9a,2,25ba6a12cc23f80b09d3f3a2,61,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-bb927eff742d,2,2317cfa5e6dca8368853d6ab,13,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-3230599bdeb2,2,7ee71bc8ad2032aaae23862f,8,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-2129103436b8,2,7efff99410c500cf4eb2fa7a,12,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-b4f820f0c41f,2,5f69fe10a5877e8b5e6aaef9,47,country,categorical,categorical,null,UNVERIFIABLE,66,10,0.15151515151515152,20260919
EXT-02-07e41b582148,2,f3721d5fbf6a6fcff48fff34,17,ci_upper,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-896f6c57a84e,2,2317cfa5e6dca8368853d6ab,13,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-47cf2e521b4c,2,0bbd8b33fcf24855e75475c3,10,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-421431934a72,2,68560ad54cc15ea3dc9f1c71,19,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-3c608f4bd9d9,2,51312b4ad013618512cb5d93,38,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-1ef48ce79305,2,d49f54d8f8ab237a5f2181fd,7,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-82487210b1d9,2,ed598ef5ac180e68d02b5634,55,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-15ec72e1a207,2,1f8f7dcab1f1dd8811d04530,39,effect_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-8f70af6699e9,2,6a0d8c62e57b10993c4cb73f,60,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-6830204d657a,2,7d489fec1b87e3abd9c6bc09,22,effect_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,128,10,0.078125,20260919
EXT-02-889204475651,2,d0907aadbe73b450b014d28c,24,effect_size,potentially_synthesis_critical,numeric,nonnull,INCORRECT,3,3,1.0,20260919
EXT-02-0d5b77f6c757,2,51986e5337a49bbc34aec064,69,effect_size,potentially_synthesis_critical,numeric,nonnull,INCORRECT,3,3,1.0,20260919
EXT-02-9f8ddf1d5c5e,2,6bc98e8c5c41666908457292,23,sample_size,potentially_synthesis_critical,numeric,nonnull,INCORRECT,3,3,1.0,20260919
EXT-02-954b3d790b91,2,0b47d3a34016e32154b877ac,35,ci_upper,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-c72f40e8b6df,2,9888a479b8b5ee50cb903b1a,20,effect_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-9821b0278546,2,e2f6c26871fbee5787fa0c4f,62,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-80c57fb772f7,2,80af749bb54dce2f8d52d4e3,73,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-2ec0d1ff2ee0,2,6a0d8c62e57b10993c4cb73f,60,effect_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-627ec7e54ea0,2,6b1e81bd7df30fe7d08c224c,42,effect_size,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-e9a99d543316,2,5928c5bb4e4e40757de3b0dc,25,ci_upper,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-fe951dbb9109,2,813f9c8f0fa5b20af5a739b9,14,ci_lower,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-3323c83d9bb4,2,d423c28b016bfc2e0e549e99,29,ci_upper,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-02-0e5db8c82011,2,ac2af664f2c84993c488944a,52,ci_upper,potentially_synthesis_critical,numeric,null,UNVERIFIABLE,157,10,0.06369426751592357,20260919
EXT-03-bc28bdfd6187,3,d5e8c907cde6a458c6725898,289,study_design,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-d67822e58f77,3,c94ffe924a0d543cda4fb4d7,187,study_design,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-295d4df77287,3,67ec02751ce2648fb2ee74f8,448,outcome,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-645cfe977fd9,3,f4930d9c2f2dc9760a047fb2,795,country,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-e85051d5d730,3,2a44ab2dd3fc9ce6315ddb13,352,study_design,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-3815dc5193a4,3,c2bf2f966081d5d0ec0c85b8,494,study_design,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-09f77f3db035,3,82d763e911bbb5542acd59f1,796,drug,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-6e0a2418d8d9,3,71bad8720c1815b63b096486,250,outcome,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-1571c555476c,3,887b116a6e0b81428828b764,348,outcome,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-f2885f3fdd55,3,0d20c9df0b94b99d12b989df,117,outcome,categorical,categorical,nonnull,CORRECT,2499,10,0.004001600640256103,20260919
EXT-03-6469f793925c,3,4e06e9015cc4d7a864f0f48e,686,outcome,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-0395076d83df,3,4f5aef53ec7ec16ee04e33e6,341,drug,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-a247207faf6e,3,c9768ebefba0ca50851e28be,149,outcome,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-e994df94c0e6,3,5127150b951c831180cdccac,737,study_design,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-684f8675e98e,3,868eb70b90e9eb29331044ae,592,study_design,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-07d596f5d843,3,f6aea31c623a9ada280986d2,399,outcome,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-1d6a35304333,3,e4b8ad022807b2cb81df7fc9,197,outcome,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-273234bab299,3,c96c5837a1e9f2ebce6b1fb6,673,outcome,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-6cb4ab172fb8,3,c39216734e6ccd83ef02d798,298,outcome,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-5e35b52b4ec5,3,89a33b3ee52bb3d88de7143f,460,study_design,categorical,categorical,nonnull,INCORRECT,24,10,0.4166666666666667,20260919
EXT-03-84a873cd6a73,3,1beaf05029f86969f781cd2f,577,study_design,categorical,categorical,nonnull,UNVERIFIABLE,3,3,1.0,20260919
EXT-03-dc2d0c7f9803,3,f3a536fd0d4555ecd195f72e,24,drug,categorical,categorical,nonnull,UNVERIFIABLE,3,3,1.0,20260919
EXT-03-3d4ff3ac2077,3,cb3bcf18da24480a2622ae57,778,country,categorical,categorical,nonnull,UNVERIFIABLE,3,3,1.0,20260919
EXT-03-6f31e497f313,3,316177273e91c182b91d761b,359,drug,categorical,categorical,null,CORRECT,5,5,1.0,20260919
EXT-03-48ab78d9a77e,3,bbf555738081b28ab3c9a40b,443,drug,categorical,categorical,null,CORRECT,5,5,1.0,20260919
EXT-03-86d0e5166426,3,40f4668c197a35e89f99a0ad,64,country,categorical,categorical,null,CORRECT,5,5,1.0,20260919
EXT-03-2c463888b2fa,3,dc2c39d6da425846e5491cde,838,drug,categorical,categorical,null,CORRECT,5,5,1.0,20260919
EXT-03-0aed91fae3f9,3,bbb035a59a52fa2e6cbc278a,758,drug,categorical,categorical,null,CORRECT,5,5,1.0,20260919
EXT-03-fba559d7b933,3,adaa93032b954352e89e0bfe,522,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-99d268186ed5,3,b1768b0f7dab875cdd5ad76b,805,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-87bc7621460d,3,6974bd494af51fa4de1b83ff,136,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-d347430ed50e,3,ab902e5a9cd8b7a0f18c2f3c,76,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-3340e6122354,3,33edde2d2d37c3e852be6ceb,151,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-e0b6682b4065,3,b33320c930f1f537db4b368b,7,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-b12e96d27575,3,5fc36ebaba3fdd019ebabb28,148,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-fb3ac32bf1aa,3,a2e1552b25ec75cef33308bd,663,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-8b8f2db9beb8,3,f0bf380571376b596015c124,99,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-8bf5a22d1f3a,3,a351460b2ad3f27f8b360bda,3,country,categorical,categorical,null,UNVERIFIABLE,833,10,0.012004801920768308,20260919
EXT-03-bc690ed51bd1,3,f1efbdeb6f57ce0703eadd8a,132,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-e7baff387104,3,6640482241b894050a535f87,526,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-0ffcb0ef0cdf,3,84246bf88e4cd1555d88cb15,176,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-b10de1c1f7ab,3,cdcc7763ac4ac239dcfb2ed4,307,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-ea19803730cb,3,4bbd75feaebfba4cead44c01,372,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-c698d92d6890,3,3e5d191fde46f286065cf8a8,262,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-b1516f9a8ff0,3,b33320c930f1f537db4b368b,7,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-e24f38058d7e,3,6475e389933a9590e8712594,234,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-242c123e6910,3,596b86de0f1bd7dd99975ecf,367,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-55a60dbb5df2,3,5b24a8864a51988fa7138f72,84,follow_up_years,other_numeric,numeric,nonnull,CORRECT,282,10,0.03546099290780142,20260919
EXT-03-1511a97782d0,3,c84ed712e79bd2b8e199f1b7,195,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-848330fd8252,3,9922e298e66b8f4a5f016b55,182,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-65fba8ca28ca,3,b3ef9524dc51f7c814fffdac,78,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-e92cb1d6a948,3,c9b148f8195c4857107458bd,77,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-d7baa0f5ea47,3,e5005fb13e9246b2d6766420,681,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-a2ad92ccfd2d,3,2664dda6d2400f42fb20ae0e,292,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-996328e92301,3,c587880afec906d441dfa8fb,98,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-aeab3405099f,3,60b78f22bde738f3b5a13522,310,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-14098b9e7fbf,3,63802cbd36f03bfa78c43e7e,523,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-7312e77ef871,3,6021a8294b88b96cdb3766cd,377,follow_up_years,other_numeric,numeric,nonnull,INCORRECT,23,10,0.43478260869565216,20260919
EXT-03-b22d81552d9d,3,0f3b73cdaae8987cb280c731,108,follow_up_years,other_numeric,numeric,nonnull,UNVERIFIABLE,1,1,1.0,20260919
EXT-03-a24f3b902011,3,dc2c39d6da425846e5491cde,838,follow_up_years,other_numeric,numeric,null,CORRECT,2,2,1.0,20260919
EXT-03-2c9091a76207,3,d2e3249bfda217dd587c43d6,157,follow_up_years,other_numeric,numeric,null,CORRECT,2,2,1.0,20260919
EXT-03-fa3a129f572b,3,1db11f16d679ed78fd1d6bfa,832,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-952a7220fb78,3,363dcd943a4c0a51c5b75750,133,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-58d9977210af,3,c58d50ea2caa38c8dc5ab33f,418,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-d361f499e4a9,3,695ff9306af797bc44d29a43,617,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-b8546f9becfc,3,87bb65a555e4cb7bd7755822,311,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-957efdc4e352,3,0ed6b26d67b8e8f3c9ae47fa,30,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-11fcc1740721,3,c32e55e4afe94dfef10a14f6,200,follow_up_years,other_numeric,numeric,null,INCORRECT,7,7,1.0,20260919
EXT-03-baf1ae7fae3a,3,d47d0159b79c62937b4a5369,665,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-7de1716c45ca,3,6839bf6a59a9573f35aa0b02,386,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-13af57ad855b,3,d325f720c727f95f56166c6b,48,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-905c9db636a2,3,47a1fe75ffa045ae14835712,433,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-ac9939d590f4,3,b3ca4deebeccfe6cd6a33d81,297,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-2378a557ef46,3,975576f6599bd98d001f3bf6,380,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-60221cd2694a,3,6f0a756f32325caa96699e76,454,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-04a54a244522,3,c5905f8086583ad68bfa2eaf,286,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-948d23884219,3,f2b7919e4295e37f7beae3fc,229,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-687a1bdc2d26,3,edc0ba87710e26b275e9a87b,164,follow_up_years,other_numeric,numeric,null,UNVERIFIABLE,526,10,0.019011406844106463,20260919
EXT-03-3371d815fb4c,3,036e3968668464a5f99b924e,152,sample_size,potentially_synthesis_critical,numeric,nonnull,CORRECT,1642,10,0.0060901339829476245,20260919
EXT-03-388c7a2a05cc,3,27a2c26c9bbb74ce505f4bc0,391,ci_upper,potentially_synthesis_critical,numeric,nonnull,CORRECT,1642,10,0.0060901339829476245,20260919
EXT-03-6115e1583c83,3,b8e44d50eb009a7ec822f026,389,hazard_ratio,potentially_synthesis_critical,numeric,nonnull,CORRECT,1642,10,0.0060901339829476245,20260919
EXT-03-e592d68d7a5d,3,0bce658c2eeb03b2b625d8a1,554,ci_lower,potentially_synthesis_critical,numeric,nonnull,CORRECT,1642,10,0.0060901339829476245,20260919
EXT-03-d71666b67610,3,64b28a88ce997f5071f8146e,257,ci_upper,potentially_synthesis_critical,numeric,nonnull,CORRECT,1642,10,0.0060901339829476245,20260919
EXT-03-a0ce31d0050c,3,0373fea02687a3fa200085c8,613,ci_lower,potentially_synthesis_critical,numeric,nonnull,CORRECT,1642,10,0.0060901339829476245,20260919
